price_per_year,price_segment,car_price_in_rupees
42272.72727272728,Low,465000.00000000006
10588.235294117647,Very Low,180000.0
56625.0,Low,453000.0
53400.0,Low,534000.0
17083.333333333332,Very Low,204999.99999999997
96875.0,Very High,1550000.0
122500.0,High,735000.0
15000.0,Very Low,225000.0
141666.66666666666,High,850000.0
76333.33333333333,Medium,687000.0
67250.0,Low,538000.0
92222.22222222223,High,830000.0000000001
16000.0,Very Low,240000.0
78750.0,Medium,630000.0
47500.0,Low,475000.0
44500.0,Low,445000.0
99800.0,High,998000.0
94166.66666666667,Low,565000.0
53888.88888888888,Low,484999.99999999994
281666.6666666666,Very High,1689999.9999999998
66583.33333333333,High,799000.0
43000.0,Low,430000.0
44230.769230769234,Medium,575000.0
36666.666666666664,Very Low,330000.0
68111.11111111111,Medium,613000.0
79857.14285714286,Low,559000.0
339799.99999999994,Very High,1698999.9999999998
186250.0,Very High,1490000.0
155454.54545454547,Very High,1710000.0000000002
61250.00000000001,Low,490000.00000000006
26083.333333333332,Very Low,313000.0
47428.57142857143,Very Low,332000.0
74500.0,High,745000.0
27500.0,Very Low,385000.0
88636.36363636363,High,975000.0
31818.18181818182,Very Low,350000.0
115000.0,Medium,690000.0
34692.307692307695,Low,451000.0
45111.1111111111,Very Low,405999.99999999994
67500.0,Low,540000.0
38461.53846153846,Low,500000.0
149909.09090909088,Very High,1648999.9999999998
262500.0,Very High,2100000.0
63181.818181818184,Medium,695000.0
73583.33333333333,High,883000.0
119230.76923076923,Very High,1550000.0
73222.22222222222,Medium,659000.0
29090.909090909092,Very Low,320000.0
112333.33333333333,Medium,674000.0
249500.0,High,998000.0
179166.66666666666,Very High,1075000.0
31153.846153846152,Very Low,405000.0
34750.0,Very Low,417000.0
96600.0,Low,483000.0
98166.66666666667,Medium,589000.0
20714.285714285714,Very Low,290000.0
68625.0,Low,549000.0
192500.0,Very High,1925000.0
152000.0,Very High,1064000.0
76000.0,High,760000.0
151285.7142857143,Very High,1059000.0
26416.666666666668,Very Low,317000.0
130000.0,Very High,1040000.0
58875.0,Low,471000.0
107000.0,High,749000.0
90625.0,Medium,725000.0
320000.0,Very High,1600000.0
83000.0,High,747000.0
52272.72727272727,Medium,575000.0
13571.42857142857,Very Low,190000.0
140625.0,Very High,1125000.0
64500.0,Medium,645000.0
40500.0,Very Low,405000.0
97222.22222222222,High,875000.0
25076.923076923078,Very Low,326000.0
158500.0,High,951000.0
209285.7142857143,Very High,1465000.0
75000.0,High,750000.0
95000.0,High,950000.0
161538.46153846153,Very High,2100000.0
76375.0,Medium,611000.0
75000.0,Medium,600000.0
56818.181818181816,Medium,625000.0
160857.14285714287,Very High,1126000.0
31818.18181818182,Very Low,350000.0
102777.77777777778,High,925000.0
122374.99999999999,High,978999.9999999999
32454.545454545456,Very Low,357000.0
47363.63636363636,Low,521000.0
62714.2857142857,Low,438999.99999999994
81666.66666666667,High,735000.0
236500.0,Very High,1419000.0
69857.14285714286,Low,488999.99999999994
40500.0,Very Low,405000.0
21875.0,Very Low,350000.0
85571.42857142857,Medium,599000.0
75000.0,Medium,675000.0
102899.99999999999,Very High,1028999.9999999999
49285.71428571428,Very Low,345000.0
112857.14285714286,High,790000.0
105624.99999999999,High,844999.9999999999
141500.0,High,849000.0
59444.444444444445,Low,535000.0
39583.333333333336,Low,475000.0
329799.99999999994,Very High,1648999.9999999998
